mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_class_weight,param_criterion,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,method,iter,running_best
6.703235673904419,0.052613831993168325,0.08184895515441895,0.0208557959354334,True,balanced,log_loss,8,,3,4,151,"OrderedDict([('bootstrap', True), ('class_weight', 'balanced'), ('criterion', 'log_loss'), ('max_depth', 8), ('max_features', None), ('min_samples_leaf', 3), ('min_samples_split', 4), ('n_estimators', 151)])",0.9755106271642644,0.9751165502402467,0.9746079016731704,0.9779350445756676,0.9767131025997928,0.9759766452506284,0.001200674194607916,16,bayes,0,0.9759766452506284
6.258973217010498,0.19179754625124257,0.2567752361297607,0.12671980472295663,False,balanced,gini,19,,1,3,77,"OrderedDict([('bootstrap', False), ('class_weight', 'balanced'), ('criterion', 'gini'), ('max_depth', 19), ('max_features', None), ('min_samples_leaf', 1), ('min_samples_split', 3), ('n_estimators', 77)])",0.8953879783972564,0.8892345158723926,0.8965749598241165,0.8987618964406133,0.8969317486227301,0.8953782198314217,0.003256995525846707,49,bayes,1,0.9759766452506284
2.72519998550415,0.02684032325416765,0.10702505111694335,0.015558055465251344,True,balanced,gini,10,sqrt,3,3,153,"OrderedDict([('bootstrap', True), ('class_weight', 'balanced'), ('criterion', 'gini'), ('max_depth', 10), ('max_features', 'sqrt'), ('min_samples_leaf', 3), ('min_samples_split', 3), ('n_estimators', 153)])",0.9773699525935189,0.9745541283038656,0.975122463289315,0.9776555501908076,0.9772570156423926,0.9763918220039798,0.0012876877023766623,11,bayes,2,0.9763918220039798
4.803214693069458,0.17637262782794266,0.3599512577056885,0.1449960911969113,False,,entropy,16,log2,1,7,176,"OrderedDict([('bootstrap', False), ('class_weight', None), ('criterion', 'entropy'), ('max_depth', 16), ('max_features', 'log2'), ('min_samples_leaf', 1), ('min_samples_split', 7), ('n_estimators', 176)])",0.9756860476199574,0.9726981384407523,0.9728265324677438,0.9767020672685509,0.9763713103609892,0.9748568192315986,0.0017417353713576876,20,bayes,3,0.9763918220039798
9.812955617904663,0.30250187682886853,0.4712968349456787,0.25016326802190014,False,,entropy,15,,4,5,134,"OrderedDict([('bootstrap', False), ('class_weight', None), ('criterion', 'entropy'), ('max_depth', 15), ('max_features', None), ('min_samples_leaf', 4), ('min_samples_split', 5), ('n_estimators', 134)])",0.945248021074309,0.9335930981274031,0.9314420370080053,0.9413697649095658,0.9400757523722174,0.9383457346983001,0.005099566123919992,47,bayes,4,0.9763918220039798
4.987354183197022,0.16677456559750126,0.20826048851013185,0.09171546239266193,False,balanced,gini,5,,2,5,112,"OrderedDict([('bootstrap', False), ('class_weight', 'balanced'), ('criterion', 'gini'), ('max_depth', 5), ('max_features', None), ('min_samples_leaf', 2), ('min_samples_split', 5), ('n_estimators', 112)])",0.9601458471241304,0.9592864839928708,0.9587457937752878,0.9619013143407791,0.9632280540847392,0.9606614986635614,0.0016703794010427338,45,bayes,5,0.9763918220039798
2.3891685962677003,0.2769708133981178,0.34388251304626466,0.20395285059492207,False,balanced,entropy,18,log2,3,6,90,"OrderedDict([('bootstrap', False), ('class_weight', 'balanced'), ('criterion', 'entropy'), ('max_depth', 18), ('max_features', 'log2'), ('min_samples_leaf', 3), ('min_samples_split', 6), ('n_estimators', 90)])",0.9761727370432712,0.9734476805837604,0.9739005847651756,0.9765630776503481,0.9764477748529801,0.9753063709791071,0.0013463780659980322,19,bayes,6,0.9763918220039798
0.446959924697876,0.03339849828977912,0.06302704811096191,0.02419536532458102,False,balanced,entropy,17,sqrt,1,5,15,"OrderedDict([('bootstrap', False), ('class_weight', 'balanced'), ('criterion', 'entropy'), ('max_depth', 17), ('max_features', 'sqrt'), ('min_samples_leaf', 1), ('min_samples_split', 5), ('n_estimators', 15)])",0.9746247816593997,0.9696785161137662,0.9716810434621235,0.9743847992226279,0.973539144365365,0.9727816569646563,0.0018644996178235117,31,bayes,7,0.9763918220039798
1.3820557594299316,0.31019016589357434,0.21518511772155763,0.21048101330485125,False,balanced,log_loss,9,log2,2,2,80,"OrderedDict([('bootstrap', False), ('class_weight', 'balanced'), ('criterion', 'log_loss'), ('max_depth', 9), ('max_features', 'log2'), ('min_samples_leaf', 2), ('min_samples_split', 2), ('n_estimators', 80)])",0.9767108245084866,0.9733138536270693,0.9746117931670019,0.9769918646628997,0.9768446932430439,0.9756946058417004,0.0014750421183540138,17,bayes,8,0.9763918220039798
0.6392077445983887,0.01393393775803507,0.03381505012512207,0.004788547206154357,True,balanced,log_loss,7,log2,2,4,39,"OrderedDict([('bootstrap', True), ('class_weight', 'balanced'), ('criterion', 'log_loss'), ('max_depth', 7), ('max_features', 'log2'), ('min_samples_leaf', 2), ('min_samples_split', 4), ('n_estimators', 39)])",0.9752651598196085,0.9721212118455456,0.9723947535385555,0.9747999751515654,0.97521590865473,0.9739594018020009,0.0014012454126108998,26,bayes,9,0.9763918220039798
